cellid,freq
16302,1
13330,15
17631,2
14651,18
15957,2
14643,5
21425,1
18787,1
15536,5
17102,2
17789,1
16201,12
21710,3
15846,10
14336,4
19519,7
15950,2
20585,6
13368,1
16471,1
12030,11
18137,23
16100,1
16693,7
14552,63
17705,2
21360,1
20771,1
14458,2
13503,2
11620,1
12046,13
19291,2
14981,1
17803,4
20870,2
12870,6
17199,3
16266,1
16094,7
16207,14
16081,13
17804,1
14918,1
17522,1
12693,2
13664,6
15678,25
19095,1
18030,1
14026,6
20584,2
14413,2
16971,1
17084,1
14337,2
15582,1
14041,4
13875,7
18202,1
14396,9
13173,1
17223,1
18138,1
15010,10
15790,1
17906,1
21350,1
13876,1
14530,12
17743,11
14784,2
10997,2
15949,3
13189,1
16918,1
13736,3
14864,2
12552,8
18309,12
21343,1
20777,3
11980,1
17993,10
18440,3
21501,1
13511,1
21394,1
21239,11
21341,15
12245,2
18021,1
12042,2
15526,2
21541,1
21636,5
15207,2
16097,1
15745,2
10651,3
18527,1
20398,1
12551,5
15681,4
21389,1
16003,1
11504,8
15221,3
13446,1
17520,1
8871,1
20405,1
20397,5
12726,8
18430,4
11172,1
17644,1
11505,1
21438,2
14927,1
14222,1
13019,1
11699,3
19879,1
10986,1
14039,3
15119,136
2832,1
20540,1
18145,1
16510,1
14988,1
15121,2
9621,1
19974,7
6326,1
10797,1
15325,14
15089,1
11325,2
15663,2
10109,15
20456,1
18343,1
15332,2
17901,1
16920,1
14648,12
18747,1
15406,1
20783,1
21545,1
21349,2
15209,1
19259,1
11329,1
18115,1
21326,1
12889,5
16215,6
19630,1
15982,2
21179,2
13608,1
18791,1
11323,2
15978,8
13787,1
21468,2
13153,1
19705,1
14521,1
17228,5
18001,2
18444,1
18141,1
18205,1
12376,2
15098,1
14305,3
16216,108
13017,4
16611,1
21524,13
19407,2
21231,2
17611,2
21504,1
13190,3
17893,52
20586,2
20741,1
17131,1
16393,1
13877,3
11960,2
14145,1
17550,5
17636,1
17624,1
16989,1
15436,1
15636,1
21474,5
17100,8
21339,4
15120,10
15992,2
17831,1
14668,1
13183,3
12849,13
12630,1
18656,2
